page_id,expected_elements,detected_result,is_success,issue
8,"formula_box, body_text, caption_or_legend, table, footer","상단 수식 박스는 formula_box로, 본문은 body_text로, 표 제목은 caption_or_legend로, 표 영역은 table로 분리됨",Y,표 영역은 감지되었으나 행/열 단위 세부 구조 복원은 추가 표 처리 필요
16,"body_text, formula_box, example_solution_box, reference_text, graph_or_figure, caption_or_legend","본문, 공식 박스, 예제/풀이 박스, 참고 설명, 그래프 영역, 그래프 범례가 각각 분리됨",Y,"그래프는 graph_or_figure로 감지되었으나 그래프 내부의 축, 범례, 수치 해석은 Model B 단계와 연계 필요"
